,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
0,中国国家博物馆,['中国新闻出版广电报'],出版社携手博物馆当注重3种思维,"时代出版与中国国家博物馆合作开发了“中国国家博物馆古代艺术”系列丛书等重大出版工程;2017年2月,科学出版社与首都博物馆、天津博物馆、河北博物院...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963428880161964581%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
1,中国国家博物馆,['光明网'],你知道中国国家博物馆的0001号文物是什么吗?,"中国国家博物馆曾公开展出狱中自述的最后一稿,全文共计2818个字。 李大钊狱中亲笔自述(定稿) “长此以往,吾之国计民生,将必陷于绝无挽救之境界矣”“...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962025725243326990%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月14日
2,中国国家博物馆,['幺六零Plus'],中国国家博物馆全攻略之入门篇,"上一篇咱们介绍了如何去国博,那么这一篇呢跟大家说说去国博之前需要做哪些准备工作和注意事项。 【开放时间】 【参观预约】 目前北京还处于疫情管控期...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6955371444167623180%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月13日
3,中国国家博物馆,['山河文玩博物馆'],中国国家博物馆,"中国国家博物馆(中国国家博物馆)成立于1912年,由原中国历史博物馆和中国革命博物馆合并而成。这是一个大型的中国文物博物馆,馆藏超过140万个文物。 ...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6960650423942382091%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月13日
4,中国国家博物馆,['大地寻光'],518世界博物馆日 | 盘点国内那些此生必打卡的博物馆,"02荆楚广地•湖北省博物馆 位于东湖畔,是我国重要的国家博物馆,馆藏文物丰富,有中国规模最大的古乐器陈列馆。现馆藏文物26万余件(套),以青铜器、漆木...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963181461671461384%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
5,中国国家博物馆,['智慧小鱼儿'],毕业旅行不知道去哪，南京博物院是个好地方,"其前身是1933年蔡元培等倡建的国立中央博物院。它不仅仅是大型综合性的国家级博物馆、历史艺术博物馆,还被称为国家一级博物馆、首批中央地方共建国家...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962179175453082127%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
6,中国国家博物馆,['幺六零Plus'],中国国家博物馆全攻略之古代中国(远古中国),"“古代中国陈列”是中国国家博物馆的基本陈列,它以王朝更替为主要脉络,分为远古时期、夏商西周时期、春秋战国时期、秦汉时期、三国两晋南北朝时期、...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6955630938382402060%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月13日
7,中国国家博物馆,['梅开二度HR'],中国国家博物馆,天地同和--中国古代乐器展 展期:展出中 地点:国家博物馆 南3、南4展厅 妙合神形--中国国家博物馆藏明清肖像画展 展期:展出中 地点:国家博物馆 南9展...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6960191138963685923%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月09日
8,中国国家博物馆,['国家博物馆'],五一假期 | 国家博物馆正常开馆，正在展出26个展览,"4月27日,王溪在中国国家博物馆“复兴之路”基本陈列上向小学生介绍《共产党宣言》中文全译本。新华社记者 陈钟昊 摄 王溪所在的国家博物馆讲解团队平...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6956873331479937574%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年4月30日
9,中国国家博物馆,['央视新闻'],中国国家博物馆:假期正常开放 推出26项展览,"五一假期将至,中国国家博物馆对外发布,假期期间正常开放,将推出26项展览,每天预约人数上限为15000人。 中国国家博物馆5月1日至5月5日正常开放。开馆...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6956887480553439758%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年4月30日
10,中国国家博物馆,['拱墅检察'],18个中国博物馆的馆藏精品 你认识多少?,"博物馆作为民族记忆的宝库,在社会文化中扮演着不可或缺的角色。中华文化源远流长,各地博物馆都珍藏着许多珍品:清明上河图、曾侯乙编钟、长信宫灯、铜...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963405979392410112%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
11,中国国家博物馆,['中国经济网'],中国国家博物馆:新产品 新创意，文创开发一直在路上,设计推出国家博物馆首款潮玩IP“夔九”;将馆藏“星空图”设计进年轻时尚的运动防晒衣……2021年的中国国家博物馆(以下简称“国博”)文创产品依旧创意...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6953039564328043022%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年4月20日
12,中国国家博物馆,['山河文玩博物馆'],国家典籍博物馆,"国立古典博物馆是中国国家图书馆的组成机构之一。它位于中国国家图书馆南部地区的北京市海淀区中关村南大街。它的总建筑面积为11549平方米,设有10个...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6962309090945024543%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
13,中国国家博物馆,['全球博物馆'],中国国家博物馆顶级文物，让你一次看个够,"中国国家博物馆总建筑面积近20万平方米,国博藏品数量为100余万件,展厅数量48个。是世界上单体建筑面积最大的博物馆,是中华文物收藏量最丰富的博物馆...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6514747488820265479%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年1月25日
